sku,name,category_slugs,main_image
621821,20V LI-ION BRUSHLESS CORDLESS BLOWER (INDUSTRIAL),20v-lithium-ion-platform,https://www.wokintools.com/wp-content/uploads/2026/08/wokin-20v-brushless-cordless-blower-621821.jpg
666007,DOUBLE FIRING FLAMETHROWER,hardware-and-others,https://www.wokintools.com/wp-content/uploads/2026/06/wokin-double-firing-flamethrower-666007.jpg
830912,AIR COMPRESSOR,pneumatic-tools,https://www.wokintools.com/wp-content/uploads/2026/06/wokin-2hp-24l-air-compressor-830912.jpg
655810,GLUE TRAP,hardware-and-others,https://www.wokintools.com/wp-content/uploads/2026/06/wokin-glue-trap-655810.jpg
212506,10PCS IMPACT SCREWDRIVER BIT SET (INDUSTRIAL),fastening-tools,https://www.wokintools.com/wp-content/uploads/2026/06/wokin-10pcs-impact-screwdriver-bit-set-212506-1.jpg
758004,ALLOY SAW BLADE,power-tools-accessories,https://www.wokintools.com/wp-content/uploads/2026/06/wokin-alloy-saw-blade-758004.jpg
223910,105 DEGREE TURNING SCREW ADAPTER,fastening-tools,https://www.wokintools.com/wp-content/uploads/2026/06/wokin-105-degree-turning-screw-adapter-223910.jpg
767006,15PCS MULTI-TOOL BLADE SET,power-tools-accessories,https://www.wokintools.com/wp-content/uploads/2026/06/wokin-15pcs-multi-tool-blade-set-767006.jpg
656233,165 DEGREE SOFT CLOSE HINGE,hardware-and-others,https://www.wokintools.com/wp-content/uploads/2026/06/wokin-165-degree-soft-close-hinge-656233.jpg
656203,165 DEGREE NORMAL HINGE,hardware-and-others,https://www.wokintools.com/wp-content/uploads/2026/06/wokin-165-degree-normal-hinge-656203.jpg
900516,TOOL BOX,tool-bag-and-storage,https://www.wokintools.com/wp-content/uploads/2026/05/wokin-tool-box-900516.jpg
900418,TOOL BOX,tool-bag-and-storage,https://www.wokintools.com/wp-content/uploads/2026/05/wokin-tool-box-900418.jpg
757802,DIAMOND HOLE SAW (INDUSTRIAL),power-tools-accessories,https://www.wokintools.com/wp-content/uploads/2026/05/wokin-diamond-hole-saw.jpg
355620,PU TROWEL,painting-and-masonry-tools,https://www.wokintools.com/wp-content/uploads/2026/05/wokin-pu-trowel-355620.jpg
109513,DIAGONAL FLUSH CUTTER,holding-tools,https://www.wokintools.com/wp-content/uploads/2026/05/wokin-diagonal-flush-cutter-109513.jpg
253404,ADZE,striking-tools,https://www.wokintools.com/wp-content/uploads/2026/05/wokin-adze-253404.jpg
313140,GARDEN RAKE,garden-tools,https://www.wokintools.com/wp-content/uploads/2026/05/wokin-garden-rake-313140.jpg
313130,3-LINE FORK AND HOE,garden-tools,https://www.wokintools.com/wp-content/uploads/2026/05/wokin-3-line-fork-and-hoe-313130.jpg
313120,FIVE TEETH RAKE,garden-tools,https://www.wokintools.com/wp-content/uploads/2026/05/wokin-five-teeth-rake-313120.jpg
313110,FORK,garden-tools,https://www.wokintools.com/wp-content/uploads/2026/05/wokin-fork-313110.jpg
313108,TROWEL,garden-tools,https://www.wokintools.com/wp-content/uploads/2026/05/wokin-trowel-313108.jpg
313105,TRANSPLANTER,garden-tools,https://www.wokintools.com/wp-content/uploads/2026/05/wokin-transplanter-313105.jpg
508308,INFRARED THERMOMETER,measuring-tools,https://www.wokintools.com/wp-content/uploads/2026/04/wokin-infrared-thermometer-508308.jpg
621526,20V LI-ION BRUSHLESS CORDLESS ROTARY HAMMER (INDUSTRIAL),20v-lithium-ion-platform,https://www.wokintools.com/wp-content/uploads/2026/04/wokin-20v-li-ion-brushless-cordless-rotary-hammer-621526.jpg
455500,SAFETY GOGGLE,ppe,https://www.wokintools.com/wp-content/uploads/2026/04/wokin-safety-goggle-455500.jpg
454520,STEEL MESH FACE SHIELD,ppe,https://www.wokintools.com/wp-content/uploads/2026/04/wokin-steel-mesh-face-shield-454520.jpg
